No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
199,Medan,404,KC Medan Gatot Subroto,KC,"Jendral Gatot Subroto No.198",Sumatera Utara,Kota Medan
200,Medan,638,KC Stabat,KC,"Jl. Zainul Arifin No.52",Sumatera Utara,Kab. Langkat
201,Medan,154,KC Tanjung Balai,KC,"Jl. Jend. Sudirman No.237",Sumatera Utara,Kota Tanjung Balai
202,Medan,194,KC Sidikalang,KC,"Jl. Sisingamangaraja Atas No.128, Kec. Sidikalang, Kab. Dairi, Provinsi. Sumatera Utara.",Sumatera Utara,Kab. Dairi
203,Medan,636,KC Perdagangan,KC,"Jl. Rajamin Purba SH No. 07",Sumatera Utara,Kab. Simalungun
204,Medan,176,KC Gunung Sitoli,KC,"Jl. Gomo No.1-3",Sumatera Utara,Kota Gunungsitoli
205,Medan,113,KC Pematang Siantar,KC,"Jl. Merdeka No. 2",Sumatera Utara,Kota Pematang Siantar
206,Medan,323,KC Kisaran,KC,"Jl. Wahidin No. 2 Kisaran",Sumatera Utara,Kab. Asahan
207,Medan,135,KC Padang Sidempuan,KC,"Jl. Serma Lion Kosong No.36",Sumatera Utara,Kota Padang Sidempuan
208,Medan,283,KC Tebing Tinggi,KC,"Jl. Dr. Sutomo No. 24 B",Sumatera Utara,Kota Tebing Tinggi
209,Medan,266,KC Lubuk Pakam,KC,"Jl. Negara No. 100",Sumatera Utara,Kab. Deli Serdang
210,Medan,633,KC Medan Thamrin,KC,"Jl. Thamrin No. 160-160A",Sumatera Utara,Kota Medan
211,Medan,238,KC Binjai,KC,"Jl. Sutomo No. 6",Sumatera Utara,Kota Binjai
212,Medan,2062,KC Kota Pinang,KC,"Jl. Labuhan No.4-5",Sumatera Utara,Kab. Labuhanbatu Selatan
213,Medan,367,KC Medan Sisingamangaraja,KC,"Jl. Sisingamangaraja No. 241",Sumatera Utara,Kota Medan
214,Medan,336,KC Medan Iskandar Muda,KC,"Jl. Iskandar Muda No. 18 / 173, Medan",Sumatera Utara,Kota Medan
215,Padang,321,KC Pariaman,KC,"Jl. Merdeka No. 21",Sumatera Barat,Kota Pariaman
216,Padang,15,KC Bukittinggi,KC,"Jl. A. Yani No. 3",Sumatera Barat,Kota Bukittinggi
217,Padang,256,KC Payakumbuh,KC,"Jl. Jend. Sudirman No.17",Sumatera Barat,Kota Payakumbuh
218,Padang,169,KC Batu Sangkar,KC,"JL. S. PARMAN NO 38",Sumatera Barat,Kab. Tanah Datar
219,Padang,58,KC Padang,KC,"Jl. Bagindo Azis Chan No. 30",Sumatera Barat,Kota Padang
220,Palembang,30,KC Kayu Agung,KC,"Jl. Let. Marzuki Jahri I/45",Sumatera Selatan,Kab. Ogan Komering Ilir
221,Palembang,59,KC Palembang A. Rivai,KC,"Jl. Kapten A. Rivai No. 15",Sumatera Selatan,Kota Palembang
222,Palembang,160,KC Muara Bungo,KC,"Jl. Anggrek No.1",Jambi,Kab. Bungo
